id,term,definition,source,url_source,explanation,source_explanation,url_source_explanation,key
5461,UIMS,Union Des Industries Et Des Métiers De La Métallurgie,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,uimsuniondesindustriesetdesmétiersdelamétallurgie
5462,UIPES,Union internationale de promotion de la santé,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,uipesunioninternationaledepromotiondelasanté
5463,UIT,Union Internationale des Télécommunications (Voir : organismes de normalisation),marche-public.fr,http://www.marche-public.fr/Marches-publics/Definitions/Marches-publics-Sigles.htm,,,,uitunioninternationaledestélécommunicationsvoirorganismesdenormalisation
5464,ULAM,Unités littorales des affaires maritimes,Sénat,https://www.senat.fr/histoire/sigles.html,,,,ulamunitéslittoralesdesaffairesmaritimes
6289,ULIC,Unité de Lutte contre l'Immigration Clandestine,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,ulicunitédeluttecontrelimmigrationclandestine
5465,ULIS,Unité Localisée Pour L’inclusion Scolaire. Remplace Les upi Depuis 2010.,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,ulisunitélocaliséepourlinclusionscolaireremplacelesupidepuis2010
5466,ULM,Ultralégers motorisés,Sénat,https://www.senat.fr/histoire/sigles.html,,,,ulmultralégersmotorisés
6290,UMIG,Unité Mobile d'Intervention du Groupement,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,umigunitémobiledinterventiondugroupement
6291,UMP,Universale MaschinenPistole,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,umpuniversalemaschinenpistole
c11,UMR,Unité Mixte de Recherche,CNRS,https://www.cnrs.fr/insmi/spip.php?article6,Publié,À vérifier,,umrunitémixtederecherche
5467,UMTS,"Universal mobile telecommunications system (réseau de télécommunication sans fil à haut débit, incluant l'accès à internet).",Sénat,https://www.senat.fr/histoire/sigles.html,,,,umtsuniversalmobiletelecommunicationssystemréseaudetélécommunicationsansfilàhautdébit
5468,UMVF,Université médicale virtuelle francophone,Keratocone,https://www.keratocone.net/acronymes.html,,,,umvfuniversitémédicalevirtuellefrancophone
